linkage;n_components;n_clusters;silhouette_score;dbi_score
average;4;8;0,5550450682640076;0,5815920517489022
average;4;10;0,5579641461372375;0,5771651039797793
average;4;12;0,5711495280265808;0,5506669564262009
average;4;14;0,5651429891586304;0,5640494864467902
average;4;16;0,5371707677841187;0,5628673482759193
average;4;18;0,5489529371261597;0,5543302464396059
average;4;20;0,4869110584259033;0,6155209600559781
complete;4;8;0,5482951998710632;0,5914019300444089
complete;4;10;0,5482866764068604;0,6357172029992402
complete;4;12;0,5782153606414795;0,5683671440051647
complete;4;14;0,5342861413955688;0,7656834519622874
complete;4;16;0,4975582957267761;0,798294868083773
complete;4;18;0,4984149038791656;0,6644127154190453
complete;4;20;0,4624324738979339;0,694121571404041
ward;4;8;0,5418756604194641;0,7643104569566597
ward;4;10;0,5680543184280396;0,648437893590019
ward;4;12;0,5582357048988342;0,6477719127795037
ward;4;14;0,5223849415779114;0,6626620982868151
ward;4;16;0,5149977803230286;0,6558219645304932
ward;4;18;0,4846611022949219;0,7592627178206859
ward;4;20;0,5036988854408264;0,7136879903411716
average;6;8;0,5319453477859497;0,6328081504174652
average;6;10;0,5608406662940979;0,5807662035987552
average;6;12;0,596502959728241;0,504408024951479
average;6;14;0,5865296721458435;0,5369358374344331
average;6;16;0,55254065990448;0,5575815607829376
average;6;18;0,5068393349647522;0,6285993008835057
average;6;20;0,5064196586608887;0,6079137781684346
complete;6;8;0,5736382603645325;0,6456089495834774
complete;6;10;0,5967522859573364;0,5776082072133656
complete;6;12;0,584879994392395;0,5661123205128681
complete;6;14;0,551516056060791;0,5826406278012598
complete;6;16;0,5312961935997009;0,6485264943206547
complete;6;18;0,4911771714687347;0,6948592537158634
complete;6;20;0,4210339784622192;0,8974721552631412
ward;6;8;0,5679666996002197;0,7144932479217809
ward;6;10;0,586557924747467;0,5943047884273083
ward;6;12;0,5763553977012634;0,6152630220693146
ward;6;14;0,5308645367622375;0,6576659266735146
ward;6;16;0,5145959258079529;0,6789125432109994
ward;6;18;0,4748779535293579;0,7703624054664532
ward;6;20;0,489657998085022;0,7081863601597826
average;8;8;0,5159319043159485;0,725108997777599
average;8;10;0,6013032793998718;0,5732228365171552
average;8;12;0,6160283088684082;0,5005721346830484
average;8;14;0,6075649261474609;0,5126894192053139
average;8;16;0,5713773369789124;0,5309213464659208
average;8;18;0,5301154851913452;0,592487562284531
average;8;20;0,519835889339447;0,6037923913300808
complete;8;8;0,5778037905693054;0,6344191521991962
complete;8;10;0,6082618832588196;0,5797145954416425
complete;8;12;0,6163754463195801;0,4879416483095158
complete;8;14;0,5702851414680481;0,5727776820727881
complete;8;16;0,5383555293083191;0,6434407963672788
complete;8;18;0,4868873655796051;0,7304097055569516
complete;8;20;0,4887378513813019;0,6899866870705678
ward;8;8;0,5810645222663879;0,6901699827889598
ward;8;10;0,592947244644165;0,6323036968768883
ward;8;12;0,6036767363548279;0,5475172562815657
ward;8;14;0,518719494342804;0,674592528353683
ward;8;16;0,4943321645259857;0,704279844906957
ward;8;18;0,481593519449234;0,7956553490282112
ward;8;20;0,4964334070682525;0,7348362822550509
average;10;8;0,5130511522293091;0,7345583673023304
average;10;10;0,5411388278007507;0,6604992103108501
average;10;12;0,5935686230659485;0,5449936082911219
average;10;14;0,6130474209785461;0,4792973693353188
average;10;16;0,6149883270263672;0,4747193588072288
average;10;18;0,5761860609054565;0,4981676376573165
average;10;20;0,5227494835853577;0,5667481728243204
complete;10;8;0,5473064184188843;0,705827515198548
complete;10;10;0,6067319512367249;0,5486105663718598
complete;10;12;0,5967907905578613;0,5149589664258024
complete;10;14;0,5633860230445862;0,5831579077930629
complete;10;16;0,5761469602584839;0,546370493442357
complete;10;18;0,5467671155929565;0,5771836917860981
complete;10;20;0,5070620775222778;0,6465835051445398
ward;10;8;0,5748831033706665;0,7222849134628118
ward;10;10;0,585432767868042;0,7142411632409967
ward;10;12;0,5898088216781616;0,6933516509951966
ward;10;14;0,5300534963607788;0,7550312847807428
ward;10;16;0,5440643429756165;0,7019113117775295
ward;10;18;0,4995191097259521;0,7457499680977616
ward;10;20;0,4879765808582306;0,694353159030093
