linkage;n_components;n_clusters;silhouette_score;dbi_score
average;6;6;0,4966031014919281;0,769611032458485
average;6;8;0,5413272380828857;0,650942101609592
average;6;10;0,5881258249282837;0,5851821221280187
average;6;12;0,5787155032157898;0,5628299297497423
average;6;14;0,5917152166366577;0,5386073536738533
average;6;16;0,5860369801521301;0,5176888883501667
average;6;18;0,5309133529663086;0,5987826531174786
average;6;20;0,48778119683265686;0,6165217667124919
complete;6;6;0,5414429903030396;0,7620684678043194
complete;6;8;0,5732110738754272;0,6341402622335051
complete;6;10;0,5893964767456055;0,5833303047572226
complete;6;12;0,573651134967804;0,5760521149696434
complete;6;14;0,5518607497215271;0,5556537365341712
complete;6;16;0,5129067897796631;0,5632876889322661
complete;6;18;0,4949645698070526;0,6471799742942124
complete;6;20;0,488302618265152;0,6825679635034655
ward;6;6;0,5467292070388794;0,7929309265738178
ward;6;8;0,5746793150901794;0,6756095674794385
ward;6;10;0,5909555554389954;0,5615583933999377
ward;6;12;0,5912179946899414;0,5591003107785252
ward;6;14;0,5396870374679565;0,6524065390695138
ward;6;16;0,48312950134277344;0,7509944942805186
ward;6;18;0,5008654594421387;0,6922768073120504
ward;6;20;0,494545042514801;0,7174794062637488
average;8;6;0,5016540288925171;0,7883525202376694
average;8;8;0,5156428813934326;0,7378883996264476
average;8;10;0,5997912883758545;0,5788827834971265
average;8;12;0,6167450547218323;0,5015705941422061
average;8;14;0,6111124753952026;0,4813855646407634
average;8;16;0,5738015174865723;0,5183753964714588
average;8;18;0,5425684452056885;0,510654350279525
average;8;20;0,4923027753829956;0,583020595074907
complete;8;6;0,4450828731060028;1,015737276019809
complete;8;8;0,5762383937835693;0,6408541524154538
complete;8;10;0,596612274646759;0,586146102278718
complete;8;12;0,6056073307991028;0,49490164729810115
complete;8;14;0,5532007217407227;0,5878879865917844
complete;8;16;0,5261279344558716;0,7175750823538102
complete;8;18;0,5237601399421692;0,6832958669674388
complete;8;20;0,4807727336883545;0,7142333099518624
ward;8;6;0,5217537879943848;0,8816592097019281
ward;8;8;0,5875237584114075;0,6811534696847883
ward;8;10;0,6010111570358276;0,6227419425513021
ward;8;12;0,6089133024215698;0,5423270506516253
ward;8;14;0,5179420113563538;0,6586643475232655
ward;8;16;0,5247899889945984;0,6579751351658764
ward;8;18;0,479879766702652;0,7733667559847144
ward;8;20;0,47901731729507446;0,7241713159697544
average;10;6;0,49194085597991943;0,8598281742855614
average;10;8;0,5219973921775818;0,7074853072469909
average;10;10;0,5570969581604004;0,6329275114746353
average;10;12;0,625094473361969;0,47555174707137066
average;10;14;0,6342507600784302;0,4558298482662723
average;10;16;0,5890177488327026;0,4813327136189566
average;10;18;0,5439082980155945;0,5581744236958572
average;10;20;0,5457592010498047;0,5845243891861384
complete;10;6;0,3780326247215271;1,2289290809390139
complete;10;8;0,48363956809043884;1,0376364646089598
complete;10;10;0,6118665337562561;0,5711920141024668
complete;10;12;0,6283742785453796;0,4840267037354788
complete;10;14;0,5833007097244263;0,5077342433653828
complete;10;16;0,5416749119758606;0,5229054947731824
complete;10;18;0,5402483344078064;0,5014092543736693
complete;10;20;0,4892432391643524;0,5735321541412635
ward;10;6;0,5268474817276001;0,88702659051163
ward;10;8;0,5868837833404541;0,7123717292108067
ward;10;10;0,604028582572937;0,6314884003530583
ward;10;12;0,620363175868988;0,5452710913231954
ward;10;14;0,5792756080627441;0,5834095210075655
ward;10;16;0,5422832369804382;0,5934635206998993
ward;10;18;0,5074948668479919;0,6750916251098326
ward;10;20;0,5006543397903442;0,6980657718655217
average;12;6;0,47200867533683777;0,8388200827001748
average;12;8;0,4453555941581726;0,7556584884520163
average;12;10;0,5128819942474365;0,6809648606596126
average;12;12;0,5666131973266602;0,6169839778220183
average;12;14;0,6192719340324402;0,5087475915423771
average;12;16;0,6501243710517883;0,4271217924572346
average;12;18;0,5964840054512024;0,45865188727702844
average;12;20;0,5723220109939575;0,527385831995978
complete;12;6;0,34757471084594727;1,2005943113729294
complete;12;8;0,5302531719207764;0,7439098589059542
complete;12;10;0,5795210003852844;0,6166457645416531
complete;12;12;0,619721531867981;0,5502494165321931
complete;12;14;0,6148884296417236;0,5509761864910594
complete;12;16;0,6255390644073486;0,5060137352747628
complete;12;18;0,558993935585022;0,5051068966365861
complete;12;20;0,508739709854126;0,5750522947327571
ward;12;6;0,5013308525085449;0,9534797521812646
ward;12;8;0,5716592669487;0,7500612332581359
ward;12;10;0,6117939949035645;0,6108070633064602
ward;12;12;0,626926600933075;0,5320747025741499
ward;12;14;0,5899549126625061;0,5754444132573899
ward;12;16;0,5541613101959229;0,624929677851275
ward;12;18;0,555880069732666;0,6108062295036288
ward;12;20;0,5178695917129517;0,6827993703332638
