linkage,n_components,n_clusters,silhouette_score,dbi_score
average,4,8,0.5096251368522644,0.6130158440041396
average,4,10,0.5220800042152405,0.5442708467134523
average,4,12,0.5730386972427368,0.5486885251663155
average,4,14,0.5741474628448486,0.5566289454539982
average,4,16,0.5310739874839783,0.6318573511941301
average,4,18,0.5055321455001831,0.6688726672906244
average,4,20,0.5004487037658691,0.6546506845387443
complete,4,8,0.5096251368522644,0.6130158440041396
complete,4,10,0.5220800042152405,0.5442708467134523
complete,4,12,0.5730386972427368,0.5486885251663155
complete,4,14,0.5741474628448486,0.5566289454539982
complete,4,16,0.5310739874839783,0.6318573511941301
complete,4,18,0.5055321455001831,0.6688726672906244
complete,4,20,0.5004487037658691,0.6546506845387443
ward,4,8,0.5096251368522644,0.6130158440041396
ward,4,10,0.5220800042152405,0.5442708467134523
ward,4,12,0.5730386972427368,0.5486885251663155
ward,4,14,0.5741474628448486,0.5566289454539982
ward,4,16,0.5310739874839783,0.6318573511941301
ward,4,18,0.5055321455001831,0.6688726672906244
ward,4,20,0.5004487037658691,0.6546506845387443
average,6,8,0.5420135259628296,0.6414844080690283
average,6,10,0.5922990441322327,0.5872851220149894
average,6,12,0.6004578471183777,0.5074971765025601
average,6,14,0.6010375618934631,0.49192498691466646
average,6,16,0.5618380904197693,0.530696432913736
average,6,18,0.5263675451278687,0.5390449835092986
average,6,20,0.47404739260673523,0.6266376092079801
complete,6,8,0.5420135259628296,0.6414844080690283
complete,6,10,0.5922990441322327,0.5872851220149894
complete,6,12,0.6004578471183777,0.5074971765025601
complete,6,14,0.6010375618934631,0.49192498691466646
complete,6,16,0.5618380904197693,0.530696432913736
complete,6,18,0.5263675451278687,0.5390449835092986
complete,6,20,0.47404739260673523,0.6266376092079801
ward,6,8,0.5420135259628296,0.6414844080690283
ward,6,10,0.5922990441322327,0.5872851220149894
ward,6,12,0.6004578471183777,0.5074971765025601
ward,6,14,0.6010375618934631,0.49192498691466646
ward,6,16,0.5618380904197693,0.530696432913736
ward,6,18,0.5263675451278687,0.5390449835092986
ward,6,20,0.47404739260673523,0.6266376092079801
average,8,8,0.5202692747116089,0.7339089962924794
average,8,10,0.606608510017395,0.5702847487170503
average,8,12,0.6128799319267273,0.5212965423470552
average,8,14,0.6130919456481934,0.5087008236476042
average,8,16,0.579839825630188,0.5259752985824059
average,8,18,0.5336653590202332,0.5992926293073464
average,8,20,0.5238892436027527,0.6132525798984285
complete,8,8,0.5202692747116089,0.7339089962924794
complete,8,10,0.606608510017395,0.5702847487170503
complete,8,12,0.6128799319267273,0.5212965423470552
complete,8,14,0.6130919456481934,0.5087008236476042
complete,8,16,0.579839825630188,0.5259752985824059
complete,8,18,0.5336653590202332,0.5992926293073464
complete,8,20,0.5238892436027527,0.6132525798984285
ward,8,8,0.5202692747116089,0.7339089962924794
ward,8,10,0.606608510017395,0.5702847487170503
ward,8,12,0.6128799319267273,0.5212965423470552
ward,8,14,0.6130919456481934,0.5087008236476042
ward,8,16,0.579839825630188,0.5259752985824059
ward,8,18,0.5336653590202332,0.5992926293073464
ward,8,20,0.5238892436027527,0.6132525798984285
average,10,8,0.4673457145690918,0.7324875044017848
average,10,10,0.5496310591697693,0.6601233566919094
average,10,12,0.6294952630996704,0.4899469890130279
average,10,14,0.6329272389411926,0.44609345249418864
average,10,16,0.5832479596138,0.4844051176213863
average,10,18,0.5506090521812439,0.48581611713430994
average,10,20,0.48435795307159424,0.5643867354595649
complete,10,8,0.4673457145690918,0.7324875044017848
complete,10,10,0.5496310591697693,0.6601233566919094
complete,10,12,0.6294952630996704,0.4899469890130279
complete,10,14,0.6329272389411926,0.44609345249418864
complete,10,16,0.5832479596138,0.4844051176213863
complete,10,18,0.5506090521812439,0.48581611713430994
complete,10,20,0.48435795307159424,0.5643867354595649
ward,10,8,0.4673457145690918,0.7324875044017848
ward,10,10,0.5496310591697693,0.6601233566919094
ward,10,12,0.6294952630996704,0.4899469890130279
ward,10,14,0.6329272389411926,0.44609345249418864
ward,10,16,0.5832479596138,0.4844051176213863
ward,10,18,0.5506090521812439,0.48581611713430994
ward,10,20,0.48435795307159424,0.5643867354595649
