label;0;1;id;date;price;bedrooms;sqft_lot;floors;waterfront;view;condition;sqft_above;sqft_basement;lat;long;yr_renovated_new;yr_built_new;renovated;years_until_renovation;years_until_renovation_none;cluster_size
;mean;mean;mean;mean;mean;mean;mean;mean;mean;mean;mean;mean;mean;mean;mean;mean;mean;mean;mean;mean;
0;15,581388;9,778839;4379460234,749263;2014-11-05 18:15:04.778760960;381336,12;2,8952802359882006;21523,029203539823;1,1743363;0,0;0,007374631268436578;2,960766961651917;1433,4136;0,15339233038348077;47,554893;-122,221436;56,25398230088496;60,461946902654866;0,07404129793510325;4,207964601769912;56,832669322709165;3390
1;0,6091565;1,6758;4573509575,020924;2014-11-08 06:51:56.883116800;470789,4;3,4783549783549783;13042,40873015873;1,0613276;0,0;0,03463203463203463;2,984848484848485;1327,2528;678,3293650793651;47,583546;-122,25088;52,45093795093795;53,91269841269841;0,032106782106782104;1,4617604617604618;45,52808988764045;2772
2;16,792492;4,407741;4915560362,858255;2014-10-31 00:32:53.831775744;460615,25;2,931464174454829;9196,978712357217;1,9916927;0,0;0,005192107995846314;2,9979231568016615;2073,8738;0,041536863966770504;47,529655;-122,12662;18,4595015576324;19,13239875389408;0,016614745586708203;0,6728971962616822;40,5;1926
3;9,210428;10,962486;4393044779,447513;2014-10-25 23:56:27.424822272;439388,8;3,151175505740842;16178,422635319846;1,3153362;0,0;0,010934937124111536;4,187534171678513;1630,4574;0,31711317659923455;47,53089;-122,21239;56,91224712957901;57,76407873154729;0,020229633679606344;0,8518316019682887;42,108108108108105;3658
4;4,4538045;-2,5434194;4682286649,158445;2014-10-25 06:01:36.860986624;732404,1;3,7144992526158447;14383,63153961136;1,961136;0,0;0,03961136023916293;3,070254110612855;2061,077;673,9222720478326;47,59571;-122,23138;13,850523168908818;25,328849028400597;0,15246636771300448;11,478325859491779;75,2843137254902;1338
5;20,775429;1,948228;4800726741,859284;2014-11-04 09:37:55.104079872;398870,7;4,1298917568692755;6953,744379683597;2,0041633;0,0;0,0033305578684429643;2,996669442131557;2478,5662;0,0;47,398735;-122,17695;13,691923397169026;14,034970857618651;0,00749375520399667;0,3430474604496253;45,77777777777778;1201
6;10,359132;-1,4775827;4607447040,0;2014-10-30 07:01:58.681318656;395222,12;1,9523809523809523;1398,1538461538462;1,9615384;0,0;0,003663003663003663;3,0073260073260073;1012,76544;167,1135531135531;47,60903;-122,33372;9,985347985347985;10,087912087912088;0,003663003663003663;0,10256410256410256;28,0;273
7;15,305926;-1,1837432;4390755934,168585;2014-10-20 13:55:31.888964096;833683,75;4,2017603249830735;18505,36357481381;1,9966148;0,0;0,006093432633716994;3,001354096140826;3101,9568;0,0;47,650055;-122,1053;18,014895057549086;18,973595125253894;0,02234258632362898;0,9587000677048071;42,90909090909091;1477
8;9,101373;-6,4979405;4426111498,078213;2014-11-11 17:57:59.329608960;481916,56;2,3072625698324023;1263,7094972067039;2,972067;0,0;0,0111731843575419;3,0;1347,1954;82,87709497206704;47,65586;-122,34266;10,256983240223464;10,256983240223464;0,0;0,0;0,0;179
9;-6,904293;6,299697;4490511599,668712;2014-10-30 22:49:19.509202432;1661876,0;3,3006134969325154;25371,828220858893;1,6411043;1,0;3,766871165644172;3,5337423312883436;2473,043;700,6441717791411;47,537365;-122,2816;42,79141104294479;53,809815950920246;0,25766871165644173;11,01840490797546;42,76190476190476;163
10;-0,982947;11,394683;4549260646,216601;2014-10-06 04:02:48.093385216;655169,7;3,692607003891051;8642,085603112839;1,237354;0,0;0,03501945525291829;5,0;1440,7069;845,9662775616083;47,603817;-122,27832;70,60311284046692;71,71206225680933;0,018158236057068743;1,1089494163424125;61,07142857142857;771
11;2,2208378;8,730442;4533422626,742446;2014-10-26 23:38:35.395683584;523953,6;3,547242206235012;13417,457074340527;1,1026379;0,0;0,030215827338129497;4,003836930455636;1370,0845;752,8911270983214;47,569214;-122,25031;60,041726618705034;60,49448441247002;0,011031175059952039;0,45275779376498804;41,04347826086956;2085
12;12,203703;-0,571695;6909324505,436508;2014-10-30 21:31:25.714285824;560598,7;4,126984126984127;7548,769841269841;2,0;0,0;0,0;3,0;2855,1587;0,0;47,522625;-121,85645;10,492063492063492;10,492063492063492;0,0;0,0;0,0;126
13;12,115459;-7,2983737;4430977858,972376;2014-10-20 16:14:35.138121472;518599,47;3,0994475138121547;1772,4613259668508;3,0;0,0;0,0055248618784530384;3,0;1645,9558;0,0;47,669674;-122,337845;8,392265193370166;8,392265193370166;0,0;0,0;0,0;362
14;7,3342695;1,6849494;4772034806,239565;2014-10-28 07:16:26.569872896;893657,4;3,617664851784634;25546,793103448275;1,5329703;0,0;2,4767090139140957;3,4924379915305503;2201,5498;648,9885057471264;47,56577;-122,23928;44,51179673321234;49,190562613430124;0,08348457350272233;4,678765880217786;56,04347826086956;1653
15;13,356669;18,180704;8350981518,196721;2014-11-04 07:28:31.475409920;482339,2;2,0491803278688523;4887,0327868852455;1,0;0,0;0,0;3,0;1542,7867;0,0;47,702583;-122,02343;10,737704918032787;10,737704918032787;0,0;0,0;0,0;61
